"Date","forecast_US_stringency","forecast_US_stringency_low_80","forecast_US_stringency_high_80","forecast_US_stringency_low_95","forecast_US_stringency_high_95"
2021-10-24,89.6850112192438,70.8721681436664,108.497854294821,60.9132505922991,118.456771846189
2021-10-25,89.7304534028725,70.8952858748586,108.565620930886,60.9245504722341,118.536356333511
2021-10-26,89.774917879553,70.9173443625015,108.632491396605,60.9347479457502,118.615087813356
2021-10-27,89.8184387639864,70.9383840386502,108.698493489323,60.943886789108,118.692990738865
2021-10-28,89.8610492456856,70.9584443349737,108.763654156397,60.9520097383744,118.770088752997
2021-10-29,89.9027816045579,70.9775636889388,108.827999520177,60.9591584906312,118.846404718485
2021-10-30,89.9436672265978,70.9957795510097,108.891554902186,60.9653737066789,118.921960746517
2021-10-31,89.983736619667,71.0131283927944,108.954344846539,60.9706950151422,118.996778224192
2021-11-01,90.0230194293419,71.0296457160712,109.016393142613,60.9751610178851,119.070877840799
2021-11-02,90.0615444548069,71.0453660626285,109.077722846985,60.9788092966473,119.144279612966
2021-11-03,90.0993396647747,71.0603230248578,109.138356304692,60.9816764208159,119.217002908733
2021-11-04,90.136432213417,71.0745492570382,109.198315169796,60.983797956251,119.289066470583
2021-11-05,90.1728484562862,71.0880764872545,109.257620425318,60.9852084750841,119.360488437488
2021-11-06,90.2086139662132,71.1009355298936,109.316292402533,60.9859415664145,119.431286366012
2021-11-07,90.2437535491651,71.1131562986658,109.374350799664,60.9860298478283,119.501477250502
2021-11-08,90.2782912600504,71.1247678201011,109.4318147,60.9855049776729,119.571077542428
2021-11-09,90.3122504184539,71.1357982474682,109.48870258944,60.9843976680148,119.640103168893
2021-11-10,90.3456536242935,71.1462748750748,109.545032373512,60.9827376982213,119.708569550366
2021-11-11,90.3785227733825,71.1562241528997,109.600821393865,60.9805539291011,119.776491617664
2021-11-12,90.4108790728894,71.1656717015192,109.65608644426,60.9778743175473,119.843883828231
2021-11-13,90.4427430566813,71.1746423272829,109.71084378608,60.9747259316252,119.910760181737
2021-11-14,90.4741346005438,71.1831600377044,109.765109163383,60.9711349660529,119.977134235035
2021-11-15,90.5050729372671,71.1912480570292,109.818897817505,60.9671267580251,120.043019116509
2021-11-16,90.5355766715887,71.1989288419466,109.872224501231,60.9627258033306,120.108427539847
2021-11-17,90.5656637949866,71.2062240974114,109.925103492562,60.9579557727206,120.173371817253
2021-11-18,90.5953517003141,71.2131547925478,109.97754860808,60.9528395284825,120.237863872146
2021-11-19,90.624657196269,71.2197411766038,110.029573215934,60.9473991411818,120.301915251356
