"Date","forecast_US_economic","forecast_US_economic_low_80","forecast_US_economic_high_80","forecast_US_economic_low_95","forecast_US_economic_high_95"
2021-11-10,89.502761989243,71.8477004982019,107.157823480284,62.5016754956413,116.503848482845
2021-11-11,89.5492923671893,71.8614310306741,107.237153703705,62.4980428387506,116.600541895628
2021-11-12,89.5949962415042,71.8743120469034,107.315680436105,62.4935484834763,116.696443999532
2021-11-13,89.6399020909996,71.8863791761336,107.393425005866,62.4882318442724,116.791572337727
2021-11-14,89.6840376176174,71.8976670962115,107.470408139023,62.4821312918066,116.885943943428
2021-11-15,89.7274297597058,71.9082095432951,107.546649976116,62.4752841607799,116.979575358632
2021-11-16,89.7701047053777,71.9180393223015,107.622170088454,62.4677267588339,117.072482651922
2021-11-17,89.8120879059335,71.9271883180358,107.696987493831,62.4594943764656,117.164681435401
2021-11-18,89.8534040893304,71.9356875069429,107.771120671718,62.4506212978693,117.256186880792
2021-11-19,89.8940772736812,71.9435669694251,107.844587577937,62.4411408126296,117.347013734733
